Wall time,Step,Value
1702396184.3001666,67,1196197.625
1702396415.2090485,135,49659.8359375
1702396642.8327112,203,41706.4765625
1702396872.3526897,271,40756.390625
1702397090.061256,339,28216.5
1702397319.795374,407,39998.33984375
1702397543.046647,475,31048.359375
1702397775.360702,543,38464.328125
1702398009.1046534,611,29529.58984375
1702398239.701353,679,26091.037109375
1702398467.0641308,747,22984.630859375
1702398689.0309527,815,17299.638671875
1702398914.4400208,883,16117.0107421875
1702399137.5702522,951,18005.537109375
1702399361.043512,1019,20474.06640625
1702399589.14257,1087,14080.4873046875
1702399824.072668,1155,18433.357421875
1702400051.6757665,1223,17808.611328125
1702400283.6629822,1291,17547.1171875
1702400518.1249774,1359,16531.533203125
1702400748.0525098,1427,14242.3330078125
1702400975.2874568,1495,13894.005859375
1702401207.672976,1563,14563.455078125
1702401438.8450873,1631,13913.2099609375
1702401665.0685675,1699,14373.6533203125
1702401891.139557,1767,17309.716796875
1702402117.1179938,1835,14099.158203125
1702402346.0658278,1903,12310.1337890625
1702402579.0742784,1971,10936.2685546875
1702402809.463476,2039,11565.072265625
1702403039.0388594,2107,17569.955078125
1702403267.1947799,2175,15952.8603515625
1702403486.8613563,2243,12881.4453125
1702403715.7183235,2311,13446.2255859375
1702403949.7520397,2379,13622.423828125
1702404187.6498804,2447,14563.3046875
1702404426.8949656,2515,13241.6396484375
1702404670.9130812,2583,15270.6171875
1702404897.6160228,2651,13283.7548828125
1702405056.8495498,2719,11776.8564453125
1702405215.1868966,2787,14317.9814453125
1702405373.6642277,2855,13223.0546875
1702405530.5393994,2923,12314.603515625
1702405687.9082723,2991,15088.599609375
1702405843.7698028,3059,12248.123046875
1702405999.5361867,3127,14623.310546875
1702406155.1697369,3195,14425.630859375
1702406310.4391577,3263,15167.2802734375
1702406466.5242553,3331,17301.228515625
1702406622.746472,3399,14493.0712890625
1702406778.8238254,3467,13552.021484375
