Wall time,Step,Value
1702373786.5188086,33,3264661.0
1702373945.2375436,67,38652.078125
1702374104.824534,101,26601.265625
1702374263.6912155,135,26875.310546875
1702374422.243312,169,24731.966796875
1702374580.8630695,203,22836.21875
1702374740.0183184,237,21804.4921875
1702374898.7987018,271,20559.34765625
1702375057.8742943,305,17915.66015625
1702375216.3152606,339,17834.96484375
1702375375.9892368,373,14398.79296875
1702375534.546208,407,14835.138671875
1702375693.6904576,441,13763.40625
1702375852.9054554,475,15674.5419921875
1702376011.9040537,509,15357.29296875
1702376170.722077,543,13698.9365234375
1702376329.81586,577,16565.21484375
1702376488.4451556,611,14367.1015625
1702376647.3596156,645,15373.9599609375
1702376806.837366,679,14861.056640625
1702376965.1836932,713,10885.3935546875
1702377124.7560453,747,13899.1640625
1702377283.2435102,781,14067.130859375
1702377441.3180342,815,12467.8564453125
1702377600.1772628,849,12371.048828125
1702377758.9839869,883,13416.716796875
1702377917.3206317,917,13032.912109375
1702378075.8903258,951,12314.296875
1702378235.0101159,985,12734.6796875
1702378394.2202888,1019,13133.2998046875
1702378553.183685,1053,14109.3173828125
1702378712.29719,1087,10851.3486328125
1702378871.4889197,1121,11162.873046875
1702379030.3486903,1155,12547.8505859375
1702379189.0286345,1189,13385.890625
1702379348.3112364,1223,12318.3828125
1702379507.1524754,1257,10636.900390625
1702379666.4673676,1291,12800.4453125
1702379825.1931677,1325,12319.275390625
1702379984.4852562,1359,13157.669921875
1702380143.9509122,1393,10912.08203125
1702380302.9180915,1427,12702.7529296875
1702380462.2889726,1461,12397.8046875
1702380620.9458866,1495,11096.130859375
1702380780.3259282,1529,12410.9228515625
1702380939.8538964,1563,12179.970703125
1702381098.9688187,1597,11304.3564453125
1702381258.1744256,1631,12516.3330078125
1702381417.4534922,1665,11068.017578125
1702381576.566592,1699,11277.58203125
1702381735.5076003,1733,10832.4873046875
