Wall time,Step,Value
1702394307.0534065,33,1945431.125
1702394465.3496354,67,32257.517578125
1702394622.7092621,101,26583.9140625
1702394780.573225,135,25243.021484375
1702394938.2937918,169,23677.87109375
1702395095.9384458,203,29874.90625
1702395254.0540729,237,37232.75
1702395412.042107,271,24210.140625
1702395569.887831,305,29118.80859375
1702395728.0383117,339,22441.890625
1702395916.896685,373,18817.9921875
1702396140.291745,407,17350.091796875
1702396366.2522905,441,18046.513671875
1702396587.0454118,475,17523.365234375
1702396809.0413294,509,17309.255859375
1702397041.6486204,543,16488.248046875
1702397266.333407,577,16841.17578125
1702397493.4890234,611,20290.44921875
1702397711.6454434,645,16131.44140625
1702397932.9873927,679,17966.98046875
1702398154.6482213,713,16462.68359375
1702398376.4262495,747,17462.671875
1702398607.3263977,781,16374.3046875
1702398829.1766648,815,15422.9248046875
1702399057.5508196,849,15452.125
1702399280.539049,883,13766.7978515625
1702399513.6847615,917,15112.0595703125
1702399734.365164,951,16568.044921875
1702399961.1107237,985,13903.2529296875
1702400183.9438417,1019,13828.5732421875
1702400403.4812872,1053,14928.109375
1702400625.0892923,1087,16484.1015625
1702400846.7275517,1121,16233.3623046875
1702401068.3019466,1155,15467.0234375
1702401287.7706077,1189,13913.5146484375
1702401506.1332912,1223,13935.0908203125
1702401730.1419203,1257,15618.2705078125
1702401958.1663501,1291,15218.5107421875
1702402187.6130924,1325,14341.6318359375
1702402411.373505,1359,15201.30859375
1702402631.8949718,1393,14547.6171875
1702402849.2231176,1427,15465.2587890625
1702403074.3116362,1461,15574.939453125
1702403300.2872784,1495,13272.30078125
1702403526.143121,1529,13871.63671875
1702403744.0721831,1563,16113.8935546875
1702403962.993903,1597,14983.46484375
1702404194.087156,1631,14398.54296875
1702404414.466016,1665,13677.3115234375
1702404632.7581475,1699,14066.0888671875
1702404858.382596,1733,14510.091796875
