Wall time,Step,Value
1702382940.6945274,67,1730786.875
1702383093.8781781,135,62768.0234375
1702383247.1016588,203,56139.53125
1702383400.4129398,271,41486.23828125
1702383552.7309964,339,42201.203125
1702383705.2188017,407,30992.853515625
1702383858.1062973,475,35133.3984375
1702384010.630031,543,32931.65625
1702384163.0734973,611,32598.349609375
1702384315.7867892,679,31799.5078125
1702384469.0383153,747,24539.8671875
1702384622.1532083,815,19189.765625
1702384775.245208,883,21135.267578125
1702384927.7380872,951,19206.228515625
1702385080.7560503,1019,14452.634765625
1702385233.5629187,1087,16979.90234375
1702385386.089303,1155,15705.8837890625
1702385538.7014964,1223,14051.1796875
1702385691.4534235,1291,17231.986328125
1702385844.096186,1359,15585.4521484375
1702385997.337558,1427,11246.3896484375
1702386150.6160696,1495,12587.109375
1702386303.6506112,1563,11568.37109375
1702386456.8959625,1631,12028.509765625
1702386609.3574238,1699,12901.740234375
1702386762.5058033,1767,11435.4990234375
1702386914.9567342,1835,13292.291015625
1702387067.377953,1903,12293.203125
1702387219.6184204,1971,10904.7763671875
1702387371.5651646,2039,12027.201171875
1702387524.4482296,2107,11884.2578125
1702387677.3513055,2175,11728.4208984375
1702387830.3070493,2243,13829.564453125
1702387982.908923,2311,11440.669921875
1702388135.366689,2379,11555.5390625
1702388288.8153446,2447,11203.859375
1702388441.6392205,2515,11675.9169921875
1702388594.4443367,2583,11543.78515625
1702388747.4158635,2651,11357.802734375
1702388900.5870368,2719,11489.4697265625
1702389053.2234366,2787,11845.6533203125
1702389205.9822783,2855,9960.517578125
1702389359.118132,2923,12303.4609375
1702389511.6689758,2991,11248.23046875
1702389664.4321055,3059,10988.1484375
1702389816.7814367,3127,10931.3935546875
1702389969.0352411,3195,11070.98828125
1702390121.324235,3263,9573.12890625
1702390274.3173218,3331,10928.126953125
1702390427.2489328,3399,10721.26171875
1702390580.5484211,3467,12447.1953125
1702390733.0289829,3535,10875.873046875
1702390885.2995436,3603,10710.8388671875
