Wall time,Step,Value
1702382940.6945505,67,818.0253295898438
1702383093.878214,135,189.38328552246094
1702383247.1016815,203,177.984375
1702383400.4129632,271,153.4376983642578
1702383552.7310183,339,155.6111297607422
1702383705.2188244,407,132.52476501464844
1702383858.106321,475,141.68922424316406
1702384010.63006,543,137.65234375
1702384163.0735202,611,135.75100708007812
1702384315.7868135,679,136.4842529296875
1702384469.0383387,747,117.12857055664062
1702384622.1532314,815,104.29595947265625
1702384775.2452316,883,110.50127410888672
1702384927.7381108,951,105.73944854736328
1702385080.756074,1019,91.70335388183594
1702385233.5629408,1087,100.33931732177734
1702385386.0893247,1155,96.58331298828125
1702385538.7015188,1223,91.82695770263672
1702385691.4534469,1291,101.39476776123047
1702385844.0962086,1359,96.26875305175781
1702385997.3375816,1427,80.74302673339844
1702386150.6160924,1495,86.29988861083984
1702386303.650634,1563,82.7041244506836
1702386456.8959854,1631,84.13186645507812
1702386609.3574488,1699,88.28874206542969
1702386762.5058265,1767,83.11311340332031
1702386914.956758,1835,89.12138366699219
1702387067.3779757,1903,85.62174224853516
1702387219.6184437,1971,79.50582885742188
1702387371.5651872,2039,84.9463882446289
1702387524.4482532,2107,83.26904296875
1702387677.3513288,2175,84.32554626464844
1702387830.307072,2243,90.45714569091797
1702387982.9089453,2311,81.53961944580078
1702388135.3667116,2379,83.35318756103516
1702388288.8153677,2447,80.7682876586914
1702388441.6392517,2515,82.32893371582031
1702388594.44436,2583,82.57415008544922
1702388747.4158869,2651,80.8509521484375
1702388900.5870602,2719,81.50682067871094
1702389053.223459,2787,84.11125183105469
1702389205.982301,2855,76.03240966796875
1702389359.1181552,2923,84.92384338378906
1702389511.668998,2991,81.74933624267578
1702389664.4321296,3059,80.78118133544922
1702389816.781459,3127,79.70751190185547
1702389969.035263,3195,81.12286376953125
1702390121.3242564,3263,74.88607788085938
1702390274.317344,3331,80.00297546386719
1702390427.2489555,3399,79.18618774414062
1702390580.5484445,3467,84.93953704833984
1702390733.0290055,3535,79.95850372314453
1702390885.2995658,3603,79.22907257080078
