Wall time,Step,Value
1702396184.3000576,67,1196197.625
1702396415.2089744,135,49659.8359375
1702396642.8326378,203,41706.4765625
1702396872.3526187,271,40756.390625
1702397090.0611794,339,28216.5
1702397319.7953017,407,39998.33984375
1702397543.0465722,475,31048.359375
1702397775.3606322,543,38464.328125
1702398009.1045785,611,29529.58984375
1702398239.7012813,679,26091.037109375
1702398467.0640485,747,22984.630859375
1702398689.0308785,815,17299.638671875
1702398914.4399538,883,16117.0107421875
1702399137.5701804,951,18005.537109375
1702399361.04344,1019,20474.06640625
1702399589.142496,1087,14080.4873046875
1702399824.0725951,1155,18433.357421875
1702400051.675693,1223,17808.611328125
1702400283.6629126,1291,17547.1171875
1702400518.1249013,1359,16531.533203125
1702400748.05243,1427,14242.3330078125
1702400975.2873852,1495,13894.005859375
1702401207.6728995,1563,14563.455078125
1702401438.8450158,1631,13913.2099609375
1702401665.0684922,1699,14373.6533203125
1702401891.1394844,1767,17309.716796875
1702402117.1179132,1835,14099.158203125
1702402346.0657582,1903,12310.1337890625
1702402579.074206,1971,10936.2685546875
1702402809.4634054,2039,11565.072265625
1702403039.0387843,2107,17569.955078125
1702403267.1947079,2175,15952.8603515625
1702403486.8612869,2243,12881.4453125
1702403715.7182517,2311,13446.2255859375
1702403949.7519653,2379,13622.423828125
1702404187.649806,2447,14563.3046875
1702404426.894896,2515,13241.6396484375
1702404670.913012,2583,15270.6171875
1702404897.6159525,2651,13283.7548828125
1702405056.8494775,2719,11776.8564453125
1702405215.1868205,2787,14317.9814453125
1702405373.6641269,2855,13223.0546875
1702405530.5393295,2923,12314.603515625
1702405687.9082024,2991,15088.599609375
1702405843.7697194,3059,12248.123046875
1702405999.5360825,3127,14623.310546875
1702406155.1696582,3195,14425.630859375
1702406310.4390903,3263,15167.2802734375
1702406466.524185,3331,17301.228515625
1702406622.7464013,3399,14493.0712890625
1702406778.8237457,3467,13552.021484375
