Wall time,Step,Value
1702382940.6944487,67,1730786.875
1702383093.878102,135,62768.0234375
1702383247.1015792,203,56139.53125
1702383400.4128664,271,41486.23828125
1702383552.730921,339,42201.203125
1702383705.218726,407,30992.853515625
1702383858.1062245,475,35133.3984375
1702384010.6299424,543,32931.65625
1702384163.0734212,611,32598.349609375
1702384315.7867136,679,31799.5078125
1702384469.038236,747,24539.8671875
1702384622.153133,815,19189.765625
1702384775.2451248,883,21135.267578125
1702384927.7380114,951,19206.228515625
1702385080.7559707,1019,14452.634765625
1702385233.5628433,1087,16979.90234375
1702385386.089232,1155,15705.8837890625
1702385538.701426,1223,14051.1796875
1702385691.4533503,1291,17231.986328125
1702385844.0960898,1359,15585.4521484375
1702385997.3374848,1427,11246.3896484375
1702386150.6159892,1495,12587.109375
1702386303.650535,1563,11568.37109375
1702386456.8958852,1631,12028.509765625
1702386609.357347,1699,12901.740234375
1702386762.5057254,1767,11435.4990234375
1702386914.9566612,1835,13292.291015625
1702387067.3778782,1903,12293.203125
1702387219.6183448,1971,10904.7763671875
1702387371.5650957,2039,12027.201171875
1702387524.4481218,2107,11884.2578125
1702387677.3512251,2175,11728.4208984375
1702387830.3069737,2243,13829.564453125
1702387982.9088466,2311,11440.669921875
1702388135.366616,2379,11555.5390625
1702388288.8152668,2447,11203.859375
1702388441.6391454,2515,11675.9169921875
1702388594.4442663,2583,11543.78515625
1702388747.4157858,2651,11357.802734375
1702388900.5869575,2719,11489.4697265625
1702389053.2233636,2787,11845.6533203125
1702389205.982206,2855,9960.517578125
1702389359.1180522,2923,12303.4609375
1702389511.6689057,2991,11248.23046875
1702389664.4320261,3059,10988.1484375
1702389816.7813666,3127,10931.3935546875
1702389969.035168,3195,11070.98828125
1702390121.3241634,3263,9573.12890625
1702390274.317244,3331,10928.126953125
1702390427.2488601,3399,10721.26171875
1702390580.5483482,3467,12447.1953125
1702390733.0289123,3535,10875.873046875
1702390885.299474,3603,10710.8388671875
