Wall time,Step,Value
1702394307.0533352,33,1945431.125
1702394465.3495603,67,32257.517578125
1702394622.7091894,101,26583.9140625
1702394780.573153,135,25243.021484375
1702394938.2937229,169,23677.87109375
1702395095.9383657,203,29874.90625
1702395254.0539987,237,37232.75
1702395412.0420334,271,24210.140625
1702395569.8877602,305,29118.80859375
1702395728.0382097,339,22441.890625
1702395916.8966074,373,18817.9921875
1702396140.2916698,407,17350.091796875
1702396366.252216,441,18046.513671875
1702396587.045312,475,17523.365234375
1702396809.0412543,509,17309.255859375
1702397041.6485472,543,16488.248046875
1702397266.3333356,577,16841.17578125
1702397493.4889529,611,20290.44921875
1702397711.645369,645,16131.44140625
1702397932.9873154,679,17966.98046875
1702398154.6481206,713,16462.68359375
1702398376.4261675,747,17462.671875
1702398607.3263252,781,16374.3046875
1702398829.1765838,815,15422.9248046875
1702399057.5507467,849,15452.125
1702399280.5389726,883,13766.7978515625
1702399513.6846852,917,15112.0595703125
1702399734.3650916,951,16568.044921875
1702399961.1106448,985,13903.2529296875
1702400183.9437666,1019,13828.5732421875
1702400403.4812124,1053,14928.109375
1702400625.089217,1087,16484.1015625
1702400846.7274806,1121,16233.3623046875
1702401068.3018708,1155,15467.0234375
1702401287.7705317,1189,13913.5146484375
1702401506.1332178,1223,13935.0908203125
1702401730.1418445,1257,15618.2705078125
1702401958.1662753,1291,15218.5107421875
1702402187.6130207,1325,14341.6318359375
1702402411.3734293,1359,15201.30859375
1702402631.8948905,1393,14547.6171875
1702402849.2230463,1427,15465.2587890625
1702403074.311561,1461,15574.939453125
1702403300.2872078,1495,13272.30078125
1702403526.1430519,1529,13871.63671875
1702403744.0720768,1563,16113.8935546875
1702403962.993833,1597,14983.46484375
1702404194.0870798,1631,14398.54296875
1702404414.4659336,1665,13677.3115234375
1702404632.7580662,1699,14066.0888671875
1702404858.382523,1733,14510.091796875
