Wall time,Step,Value
1702373786.51873,33,3264661.0
1702373945.2374644,67,38652.078125
1702374104.8244517,101,26601.265625
1702374263.691148,135,26875.310546875
1702374422.2432384,169,24731.966796875
1702374580.8629944,203,22836.21875
1702374740.0182426,237,21804.4921875
1702374898.7986293,271,20559.34765625
1702375057.8742101,305,17915.66015625
1702375216.3151853,339,17834.96484375
1702375375.989158,373,14398.79296875
1702375534.5461314,407,14835.138671875
1702375693.6903708,441,13763.40625
1702375852.905382,475,15674.5419921875
1702376011.9039721,509,15357.29296875
1702376170.7220032,543,13698.9365234375
1702376329.8157792,577,16565.21484375
1702376488.4450831,611,14367.1015625
1702376647.3595357,645,15373.9599609375
1702376806.8372903,679,14861.056640625
1702376965.1836188,713,10885.3935546875
1702377124.755973,747,13899.1640625
1702377283.2434378,781,14067.130859375
1702377441.317959,815,12467.8564453125
1702377600.177181,849,12371.048828125
1702377758.9839082,883,13416.716796875
1702377917.3205464,917,13032.912109375
1702378075.8902497,951,12314.296875
1702378235.0100403,985,12734.6796875
1702378394.2201905,1019,13133.2998046875
1702378553.1836052,1053,14109.3173828125
1702378712.2971146,1087,10851.3486328125
1702378871.488839,1121,11162.873046875
1702379030.3486197,1155,12547.8505859375
1702379189.0285647,1189,13385.890625
1702379348.3111665,1223,12318.3828125
1702379507.152394,1257,10636.900390625
1702379666.46729,1291,12800.4453125
1702379825.1930943,1325,12319.275390625
1702379984.4851665,1359,13157.669921875
1702380143.950834,1393,10912.08203125
1702380302.9180186,1427,12702.7529296875
1702380462.2888966,1461,12397.8046875
1702380620.9458067,1495,11096.130859375
1702380780.325857,1529,12410.9228515625
1702380939.8538232,1563,12179.970703125
1702381098.9687455,1597,11304.3564453125
1702381258.1743486,1631,12516.3330078125
1702381417.4534085,1665,11068.017578125
1702381576.5665107,1699,11277.58203125
1702381735.507525,1733,10832.4873046875
